City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
419,kieta,moderate rain,PG,1614195800,75,-6.2167,155.6333,29.09,4.97
420,mataura,broken clouds,NZ,1614190444,66,-46.1927,168.8643,15.56,3.58
421,atuona,clear sky,PF,1614179976,76,-9.8,-139.0333,26.2,4.83
422,kalabo,overcast clouds,ZM,1614227356,93,-14.97,22.6814,19.65,2.09
423,qaanaaq,overcast clouds,GL,1614173962,86,77.484,-69.3632,-10.85,2.63
424,nanortalik,clear sky,GL,1614161632,89,60.1432,-45.2371,-4.53,2.81
425,rikitea,moderate rain,PF,1614178415,76,-23.1203,-134.9692,27.02,13.12
426,chokurdakh,overcast clouds,RU,1614203978,88,70.6333,147.9167,-28.9,2.47
427,catuday,overcast clouds,PH,1614205279,69,16.2923,119.8062,27.22,3.65
428,kanaya,scattered clouds,JP,1614201742,50,34.8167,138.1333,13.33,1.54
429,porto santo,few clouds,PT,1614238693,72,33.072,-16.3415,14,5.14
430,leeton,clear sky,AU,1614196683,37,-34.5667,146.4,29,5.66
431,thompson,scattered clouds,CA,1614173650,77,55.7435,-97.8558,-23,1.02
432,saldanha,clear sky,ZA,1614227623,72,-33.0117,17.9442,17,3.6
433,arraial do cabo,scattered clouds,BR,1614156109,92,-22.9661,-42.0278,24.33,1.93
436,makat,clear sky,KZ,1614222908,91,47.6469,53.3463,-23.35,4.11
437,siavonga,light rain,ZM,1614225843,91,-16.5382,28.7088,22.36,2.22
438,la rioja,clear sky,ES,1614235906,87,42.25,-2.5,10,3.6
439,sungaipenuh,broken clouds,ID,1614208982,68,-2.0833,101.3833,22.74,1.33
440,villa carlos paz,clear sky,AR,1614161062,94,-31.4241,-64.4978,23.33,2.06
441,iqaluit,snow,CA,1614167825,77,63.7506,-68.5145,-20,12.35
442,saint-philippe,clear sky,RE,1614219134,53,-21.3585,55.7679,25,4.12
443,saint-joseph,clear sky,RE,1614219170,53,-21.3667,55.6167,25,4.12
444,jamestown,overcast clouds,US,1614167985,87,42.097,-79.2353,3.33,9.77
445,siniscola,clear sky,IT,1614232875,93,40.5719,9.6922,6,1.03
448,barrow,clear sky,US,1614190996,68,71.2906,-156.7887,-33,5.66
449,santa vitoria do palmar,clear sky,BR,1614158267,85,-33.5189,-53.3681,18.76,2.08
450,coquimbo,scattered clouds,CL,1614162788,88,-29.9533,-71.3436,15.63,0.94
451,caravelas,clear sky,BR,1614155686,88,-17.7125,-39.2481,24.98,2.76
452,zhezkazgan,snow,KZ,1614219477,69,47.8043,67.7144,-27,12
453,eureka,clear sky,US,1614178671,79,40.8021,-124.1637,9.44,3.13
454,ossora,broken clouds,RU,1614197833,90,59.2353,163.0719,-16.61,3.27
455,mitsamiouli,moderate rain,KM,1614222559,75,-11.3847,43.2844,27.44,2.03
456,griffith,clear sky,US,1614169910,86,41.5284,-87.4237,0,2.87
458,nikolskoye,overcast clouds,RU,1614229586,93,59.7035,30.7861,3,5
459,victoria,light rain,HK,1614206886,89,22.2855,114.1577,20,0.45
460,san quintin,broken clouds,MX,1614176115,75,30.4833,-115.95,14.82,2.35
461,chokurdakh,overcast clouds,RU,1614203978,88,70.6333,147.9167,-28.9,2.47
462,hermanus,scattered clouds,ZA,1614227230,94,-34.4187,19.2345,14.44,4.41
463,sibolga,overcast clouds,ID,1614209754,73,1.7427,98.7792,27.3,0.55
464,jamestown,overcast clouds,US,1614167985,87,42.097,-79.2353,3.33,9.77
465,new norfolk,overcast clouds,AU,1614195964,70,-42.7826,147.0587,13.89,1.79
466,lagoa,clear sky,PT,1614241815,67,39.05,-27.9833,12.75,8.49
467,hobart,broken clouds,AU,1614195891,71,-42.8794,147.3294,13.33,4.63
468,faanui,scattered clouds,PF,1614182747,73,-16.4833,-151.75,27.7,5.21
469,antakya,clear sky,TR,1614226272,81,36.2066,36.1572,5,1.54
