City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,hermanus,clear sky,ZA,1613535585,70,-34.4187,19.2345,17.22,4.43
85,dustlik,clear sky,UZ,1613528356,36,40.5247,68.0358,13.42,5.85
86,georgetown,clear sky,MY,1613518442,64,5.4112,100.3354,28.41,0.68
87,jamestown,light snow,US,1613477488,85,42.097,-79.2353,-9.44,6.69
88,praia,few clouds,CV,1613548651,77,14.9215,-23.5087,20,3.09
89,tura,clear sky,IN,1613521968,25,25.5198,90.2201,26.21,1.29
90,bathsheba,broken clouds,BB,1613470825,61,13.2167,-59.5167,26,9.26
91,atuona,clear sky,PF,1613488702,79,-9.8,-139.0333,26.18,6.76
92,shinpokh,haze,PK,1613527117,58,34.3292,71.1782,15,2.06
93,sambava,overcast clouds,MG,1613529458,85,-14.2667,50.1667,26.11,1.65
94,arraial do cabo,clear sky,BR,1613551086,88,-22.9661,-42.0278,24.17,2.14
95,vaini,few clouds,TO,1613583166,70,-21.2,-175.2,30,2.57
96,rikitea,light rain,PF,1613486957,75,-23.1203,-134.9692,25.95,6.51
97,chuy,clear sky,UY,1613553100,95,-33.6971,-53.4616,18.11,3.24
98,chuy,clear sky,UY,1613553100,95,-33.6971,-53.4616,18.11,3.24
99,dikson,overcast clouds,RU,1613533122,87,73.5069,80.5464,-28.93,5.3
100,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
101,cortez,scattered clouds,US,1613484123,89,37.3489,-108.5859,-6.06,3.17
102,bitung,overcast clouds,ID,1613512276,69,1.4451,125.1824,29.33,1.57
103,barrow,clear sky,US,1613502310,76,71.2906,-156.7887,-27,4.63
104,vyazemskiy,snow,RU,1613513035,95,47.5378,134.7525,-9.99,7.51
105,vaitupu,,,,,,,,
106,norman wells,light snow,CA,1613492629,77,65.282,-126.8329,-23,1.54
107,hirado,light snow,JP,1613513048,60,33.3597,129.5531,4,6.69
108,camacha,few clouds,PT,1613548016,88,33.0833,-16.3333,16,2.57
109,vostok,snow,RU,1613512651,96,46.4856,135.8833,-11.61,4.49
110,atar,broken clouds,MR,1613546448,27,20.5169,-13.0499,18.35,4.94
111,georgetown,clear sky,MY,1613518442,64,5.4112,100.3354,28.41,0.68
112,kedougou,clear sky,SN,1613545807,20,12.5579,-12.1743,29,4.12
113,port alfred,clear sky,ZA,1613533811,79,-33.5906,26.891,17.28,7.15
114,katsuura,few clouds,JP,1613510599,23,35.1333,140.3,14,12.86
115,butaritari,clear sky,KI,1613500935,81,3.0707,172.7902,27.6,8.06
116,muros,broken clouds,ES,1613547039,84,42.7762,-9.0603,11.36,5.35
117,caravelas,light rain,BR,1613550730,83,-17.7125,-39.2481,25.66,3.63
118,belushya guba,,,,,,,,
119,hermanus,clear sky,ZA,1613535585,70,-34.4187,19.2345,17.22,4.43
120,talnakh,overcast clouds,RU,1613528845,85,69.4865,88.3972,-27.01,0.93
121,mao,few clouds,ES,1613543593,93,39.8885,4.2658,8,1.03
122,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
123,buariki,,,,,,,,
124,oranjemund,clear sky,NA,1613536688,78,-28.55,16.4333,16.52,2.21
125,esperance,scattered clouds,AU,1613510973,29,-33.8667,121.9,40,7.72
126,albany,light snow,US,1613476271,63,42.6001,-73.9662,-4,9.26
127,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
128,sao joao da barra,clear sky,BR,1613550932,90,-21.6403,-41.0511,24.26,1.24
129,claveria,scattered clouds,PH,1613514162,77,18.6074,121.0832,24.32,6.26
130,avarua,overcast clouds,CK,1613493032,63,-21.2078,-159.775,29.14,1.79
131,illoqqortoormiut,,,,,,,,
132,barrow,clear sky,US,1613502310,76,71.2906,-156.7887,-27,4.63
133,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
134,georgetown,clear sky,MY,1613518442,64,5.4112,100.3354,28.41,0.68
135,pisco,clear sky,PE,1613473409,78,-13.7,-76.2167,22,2.06
136,celestun,clear sky,MX,1613478661,83,20.8667,-90.4,21.41,6.9
137,parkes,overcast clouds,AU,1613504717,26,-33.1333,148.1833,28.11,4.01
138,tuktoyaktuk,overcast clouds,CA,1613495681,88,69.4541,-133.0374,-27.54,3.01
139,ushtobe,scattered clouds,KZ,1613526406,74,45.2514,77.9838,3.19,1.12
140,mar del plata,drizzle,AR,1613553734,94,-38.0023,-57.5575,19.44,1.54
141,salalah,clear sky,OM,1613530146,56,17.0151,54.0924,20,1.54
142,kosino,light snow,RU,1613534566,90,58.4127,51.2782,-23.44,2.52
143,lyubech,overcast clouds,UA,1613538479,94,51.7026,30.6569,-14.55,3.58
144,tasiilaq,light snow,GL,1613557562,86,65.6145,-37.6368,-1,7.72
145,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
146,comodoro rivadavia,scattered clouds,AR,1613555352,45,-45.8667,-67.5,18.03,6.43
147,busselton,clear sky,AU,1613512567,51,-33.65,115.3333,24.75,5.23
148,hermanus,clear sky,ZA,1613535585,70,-34.4187,19.2345,17.22,4.43
149,batesville,overcast clouds,US,1613479937,67,35.7698,-91.641,-11,1.54
150,hermanus,clear sky,ZA,1613535585,70,-34.4187,19.2345,17.22,4.43
151,tumannyy,,,,,,,,
152,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
153,skibbereen,few clouds,IE,1613548028,87,51.55,-9.2667,6,6.17
154,paamiut,clear sky,GL,1613559482,85,61.994,-49.6678,-13.09,6.59
155,bodoco,,,,,,,,
156,hobart,clear sky,AU,1613504062,36,-42.8794,147.3294,26.16,3.88
157,new norfolk,clear sky,AU,1613504137,33,-42.7826,147.0587,29.44,1.34
158,port elizabeth,clear sky,ZA,1613534103,77,-33.918,25.5701,16.76,6.04
159,grindavik,overcast clouds,IS,1613553417,93,63.8424,-22.4338,2,6.69
160,mazatlan,clear sky,MX,1613482641,82,23.2167,-106.4167,20.56,1.54
161,shingu,broken clouds,JP,1613511532,60,33.7333,135.9833,3,9.77
162,qaanaaq,overcast clouds,GL,1613488252,86,77.484,-69.3632,-21.56,2.68
163,sentyabrskiy,,,,,,,,
164,mataura,clear sky,NZ,1613498528,35,-46.1927,168.8643,18.71,2.52
165,new norfolk,clear sky,AU,1613504137,33,-42.7826,147.0587,29.44,1.34
166,port alfred,clear sky,ZA,1613533811,79,-33.5906,26.891,17.28,7.15
167,buala,moderate rain,SB,1613503522,74,-8.145,159.5921,29.25,0.99
168,haines junction,overcast clouds,CA,1613494020,70,60.7522,-137.5108,-26,0.51
169,ribeira grande,broken clouds,PT,1613551386,73,38.5167,-28.7,14.97,9.59
170,tasiilaq,light snow,GL,1613557562,86,65.6145,-37.6368,-1,7.72
171,mahon,few clouds,ES,1613543593,93,39.8885,4.2658,8,1.03
172,ancud,clear sky,CL,1613557287,87,-41.8697,-73.8203,10.95,2.01
173,vaitupu,,,,,,,,
174,safaga,sand,EG,1613535543,43,26.7292,33.9365,11,7.72
175,pemangkat,broken clouds,ID,1613516154,67,1.1667,108.9667,27.98,4.14
176,ushuaia,broken clouds,AR,1613554318,82,-54.8,-68.3,8.87,0.64
177,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
178,esperance,scattered clouds,AU,1613510973,29,-33.8667,121.9,40,7.72
179,east london,clear sky,ZA,1613533610,72,-33.0153,27.9116,18,1.54
180,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
181,punta arenas,light rain,CL,1613555214,81,-53.15,-70.9167,10,5.66
182,cockburn town,clear sky,TC,1613474075,79,21.4612,-71.1419,25.46,9.21
183,sentyabrskiy,,,,,,,,
184,puerto ayora,light rain,EC,1613477494,86,-0.7393,-90.3518,24.83,2.33
185,aimores,scattered clouds,BR,1613551063,93,-19.4958,-41.0639,22.68,1.09
186,bredasdorp,few clouds,ZA,1613535383,82,-34.5322,20.0403,15,2.06
187,meadow lake,broken clouds,US,1613483438,55,34.8014,-106.5436,2,4.12
